"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"5c52f1a4b6e7faeb5c9ccbc1191ffa9f",28,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137757a3c85a803f683cc1bc8dd4f89a",0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a159ce5ca45e69c8603fedc26103dd9",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8262ab51d7e45df6bec851b10f3fd4b2",0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4e1ccbd2b7194a41a5b6225da1509fdf",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80cf3671dca96255c21479ca4af3ca12",27,0,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"748289d833e671b4848c77b9443c2034",7,145,15,9,9,29,31,110,75,164,121,106,97,7,27,15,99,28,45,53,61,68,0,17,15,27,42,39,32,26,39,0,5,6,4,0,11,13,5,14,0,0,0,0,0,0,0,0,0,0,47,55,61,107,58,38,25,58,43,60
"9d5fa8335722caf15c7501355831afdd",0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,2,12,12,3,8,13,12,0,18,0,5,14,9,25,22,32,11,3,0,28,37,57,132,140,129,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d40d89b5dcf64f7918b4d54234b2f2d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,14,0,26,31,33,50,18,0,0,0,0,0,0,0,0,0,0
"84ea3564fd34c5377c4305b340f0c16f",0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,42,0,0,0,0,0,4,2,0
